frame_number,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16
0,"x: 144.9853, y: 4.4017, conf: 0.8025","x: 153.8547, y: 0.0000, conf: 0.3957","x: 134.6535, y: 0.0000, conf: 0.6020","x: 163.0809, y: 5.4642, conf: 0.2022","x: 114.7697, y: 2.9591, conf: 0.5563","x: 193.9423, y: 79.9834, conf: 0.9784","x: 76.8138, y: 84.5576, conf: 0.9910","x: 214.4726, y: 178.0257, conf: 0.9606","x: 60.0782, y: 197.8852, conf: 0.9828","x: 225.3509, y: 262.8084, conf: 0.9481","x: 82.7084, y: 292.9674, conf: 0.9703","x: 192.0757, y: 274.8376, conf: 0.9980","x: 114.5830, y: 280.7884, conf: 0.9986","x: 202.9996, y: 405.8098, conf: 0.9339","x: 119.9378, y: 415.1300, conf: 0.9506","x: 190.1542, y: 467.5264, conf: 0.3432","x: 133.0108, y: 476.9265, conf: 0.3835"
0,"x: 144.9853, y: 4.4017, conf: 0.8025","x: 153.8547, y: 0.0000, conf: 0.3957","x: 134.6535, y: 0.0000, conf: 0.6020","x: 163.0809, y: 5.4642, conf: 0.2022","x: 114.7697, y: 2.9591, conf: 0.5563","x: 193.9423, y: 79.9834, conf: 0.9784","x: 76.8138, y: 84.5576, conf: 0.9910","x: 214.4726, y: 178.0257, conf: 0.9606","x: 60.0782, y: 197.8852, conf: 0.9828","x: 225.3509, y: 262.8084, conf: 0.9481","x: 82.7084, y: 292.9674, conf: 0.9703","x: 192.0757, y: 274.8376, conf: 0.9980","x: 114.5830, y: 280.7884, conf: 0.9986","x: 202.9996, y: 405.8098, conf: 0.9339","x: 119.9378, y: 415.1300, conf: 0.9506","x: 190.1542, y: 467.5264, conf: 0.3432","x: 133.0108, y: 476.9265, conf: 0.3835"
2,"x: 149.2587, y: 0.5403, conf: 0.9292","x: 158.5423, y: 0.0000, conf: 0.6763","x: 135.4997, y: 0.0000, conf: 0.8343","x: 168.4834, y: 0.1922, conf: 0.2963","x: 110.7617, y: 1.9855, conf: 0.7183","x: 199.6855, y: 79.9658, conf: 0.9873","x: 76.3534, y: 85.1407, conf: 0.9929","x: 217.9221, y: 183.4429, conf: 0.9723","x: 61.8123, y: 199.2719, conf: 0.9825","x: 232.3129, y: 275.5515, conf: 0.9653","x: 84.9225, y: 300.0782, conf: 0.9752","x: 197.2384, y: 279.7393, conf: 0.9969","x: 115.8692, y: 286.2001, conf: 0.9976","x: 206.8575, y: 413.1767, conf: 0.8857","x: 119.6626, y: 425.2100, conf: 0.9017","x: 194.3667, y: 471.4583, conf: 0.1864","x: 133.3360, y: 480.0000, conf: 0.1964"
2,"x: 149.2587, y: 0.5403, conf: 0.9292","x: 158.5423, y: 0.0000, conf: 0.6763","x: 135.4997, y: 0.0000, conf: 0.8343","x: 168.4834, y: 0.1922, conf: 0.2963","x: 110.7617, y: 1.9855, conf: 0.7183","x: 199.6855, y: 79.9658, conf: 0.9873","x: 76.3534, y: 85.1407, conf: 0.9929","x: 217.9221, y: 183.4429, conf: 0.9723","x: 61.8123, y: 199.2719, conf: 0.9825","x: 232.3129, y: 275.5515, conf: 0.9653","x: 84.9225, y: 300.0782, conf: 0.9752","x: 197.2384, y: 279.7393, conf: 0.9969","x: 115.8692, y: 286.2001, conf: 0.9976","x: 206.8575, y: 413.1767, conf: 0.8857","x: 119.6626, y: 425.2100, conf: 0.9017","x: 194.3667, y: 471.4583, conf: 0.1864","x: 133.3360, y: 480.0000, conf: 0.1964"
4,"x: 149.9213, y: 0.0415, conf: 0.9106","x: 158.6996, y: 0.0000, conf: 0.6071","x: 136.1048, y: 0.0000, conf: 0.7967","x: 167.3272, y: 0.0000, conf: 0.2588","x: 110.5503, y: 1.4049, conf: 0.7138","x: 198.9785, y: 78.2357, conf: 0.9884","x: 75.4252, y: 83.8812, conf: 0.9923","x: 216.6127, y: 180.6271, conf: 0.9758","x: 62.0785, y: 197.2438, conf: 0.9812","x: 232.2401, y: 272.9012, conf: 0.9675","x: 83.3773, y: 298.5020, conf: 0.9734","x: 197.0407, y: 277.0579, conf: 0.9975","x: 115.2416, y: 283.8195, conf: 0.9978","x: 206.9588, y: 409.0739, conf: 0.9093","x: 117.3601, y: 421.9864, conf: 0.9154","x: 193.8119, y: 468.2000, conf: 0.2258","x: 130.9246, y: 480.0000, conf: 0.2246"
4,"x: 149.9213, y: 0.0415, conf: 0.9106","x: 158.6996, y: 0.0000, conf: 0.6071","x: 136.1048, y: 0.0000, conf: 0.7967","x: 167.3272, y: 0.0000, conf: 0.2588","x: 110.5503, y: 1.4049, conf: 0.7138","x: 198.9785, y: 78.2357, conf: 0.9884","x: 75.4252, y: 83.8812, conf: 0.9923","x: 216.6127, y: 180.6271, conf: 0.9758","x: 62.0785, y: 197.2438, conf: 0.9812","x: 232.2401, y: 272.9012, conf: 0.9675","x: 83.3773, y: 298.5020, conf: 0.9734","x: 197.0407, y: 277.0579, conf: 0.9975","x: 115.2416, y: 283.8195, conf: 0.9978","x: 206.9588, y: 409.0739, conf: 0.9093","x: 117.3601, y: 421.9864, conf: 0.9154","x: 193.8119, y: 468.2000, conf: 0.2258","x: 130.9246, y: 480.0000, conf: 0.2246"
6,"x: 149.8777, y: 0.0309, conf: 0.9100","x: 159.0730, y: 0.0000, conf: 0.6442","x: 136.8997, y: 0.0000, conf: 0.7777","x: 168.7683, y: 0.0000, conf: 0.3265","x: 113.4385, y: 0.7411, conf: 0.6769","x: 199.7834, y: 79.9458, conf: 0.9885","x: 77.5776, y: 84.8318, conf: 0.9913","x: 216.5174, y: 182.1745, conf: 0.9758","x: 62.8503, y: 198.8233, conf: 0.9772","x: 231.8628, y: 274.2169, conf: 0.9659","x: 83.8658, y: 299.9689, conf: 0.9676","x: 195.8045, y: 280.1005, conf: 0.9970","x: 114.7933, y: 286.3930, conf: 0.9972","x: 206.2333, y: 416.2377, conf: 0.8738","x: 116.9709, y: 428.4181, conf: 0.8752","x: 193.6349, y: 473.4437, conf: 0.1600","x: 130.4089, y: 480.0000, conf: 0.1545"
6,"x: 149.8777, y: 0.0309, conf: 0.9100","x: 159.0730, y: 0.0000, conf: 0.6442","x: 136.8997, y: 0.0000, conf: 0.7777","x: 168.7683, y: 0.0000, conf: 0.3265","x: 113.4385, y: 0.7411, conf: 0.6769","x: 199.7834, y: 79.9458, conf: 0.9885","x: 77.5776, y: 84.8318, conf: 0.9913","x: 216.5174, y: 182.1745, conf: 0.9758","x: 62.8503, y: 198.8233, conf: 0.9772","x: 231.8628, y: 274.2169, conf: 0.9659","x: 83.8658, y: 299.9689, conf: 0.9676","x: 195.8045, y: 280.1005, conf: 0.9970","x: 114.7933, y: 286.3930, conf: 0.9972","x: 206.2333, y: 416.2377, conf: 0.8738","x: 116.9709, y: 428.4181, conf: 0.8752","x: 193.6349, y: 473.4437, conf: 0.1600","x: 130.4089, y: 480.0000, conf: 0.1545"
8,"x: 149.9701, y: 0.0709, conf: 0.9072","x: 159.1666, y: 0.0000, conf: 0.6351","x: 136.9550, y: 0.0000, conf: 0.7719","x: 168.7931, y: 0.0000, conf: 0.3198","x: 113.3163, y: 0.7575, conf: 0.6741","x: 199.8290, y: 80.0277, conf: 0.9885","x: 77.2623, y: 84.9057, conf: 0.9912","x: 216.5147, y: 182.2524, conf: 0.9761","x: 62.5267, y: 198.8296, conf: 0.9771","x: 231.9103, y: 274.3209, conf: 0.9663","x: 83.6712, y: 299.5845, conf: 0.9675","x: 195.8165, y: 280.2683, conf: 0.9971","x: 114.5826, y: 286.5825, conf: 0.9973","x: 206.2453, y: 416.2742, conf: 0.8779","x: 116.8766, y: 428.5351, conf: 0.8785","x: 193.3952, y: 473.0839, conf: 0.1652","x: 130.3641, y: 480.0000, conf: 0.1587"
8,"x: 149.9701, y: 0.0709, conf: 0.9072","x: 159.1666, y: 0.0000, conf: 0.6351","x: 136.9550, y: 0.0000, conf: 0.7719","x: 168.7931, y: 0.0000, conf: 0.3198","x: 113.3163, y: 0.7575, conf: 0.6741","x: 199.8290, y: 80.0277, conf: 0.9885","x: 77.2623, y: 84.9057, conf: 0.9912","x: 216.5147, y: 182.2524, conf: 0.9761","x: 62.5267, y: 198.8296, conf: 0.9771","x: 231.9103, y: 274.3209, conf: 0.9663","x: 83.6712, y: 299.5845, conf: 0.9675","x: 195.8165, y: 280.2683, conf: 0.9971","x: 114.5826, y: 286.5825, conf: 0.9973","x: 206.2453, y: 416.2742, conf: 0.8779","x: 116.8766, y: 428.5351, conf: 0.8785","x: 193.3952, y: 473.0839, conf: 0.1652","x: 130.3641, y: 480.0000, conf: 0.1587"
