frame_number,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16
10,"x: 265.2769, y: 154.9571, conf: 0.9973","x: 276.1241, y: 143.7320, conf: 0.9811","x: 253.4315, y: 142.6609, conf: 0.9937","x: 287.2603, y: 150.7041, conf: 0.6299","x: 231.2626, y: 148.1019, conf: 0.9310","x: 305.1325, y: 222.2645, conf: 0.9938","x: 202.9964, y: 217.1173, conf: 0.9967","x: 319.4121, y: 317.2870, conf: 0.9464","x: 185.2118, y: 305.6763, conf: 0.9737","x: 322.0817, y: 405.2820, conf: 0.8934","x: 168.0678, y: 383.7590, conf: 0.9373","x: 275.7399, y: 391.2373, conf: 0.9645","x: 209.4917, y: 388.3506, conf: 0.9740","x: 266.0267, y: 480.0000, conf: 0.2173","x: 199.0035, y: 480.0000, conf: 0.2545","x: 245.0748, y: 480.0000, conf: 0.0126","x: 206.7907, y: 480.0000, conf: 0.0132"
10,"x: 265.2769, y: 154.9571, conf: 0.9973","x: 276.1241, y: 143.7320, conf: 0.9811","x: 253.4315, y: 142.6609, conf: 0.9937","x: 287.2603, y: 150.7041, conf: 0.6299","x: 231.2626, y: 148.1019, conf: 0.9310","x: 305.1325, y: 222.2645, conf: 0.9938","x: 202.9964, y: 217.1173, conf: 0.9967","x: 319.4121, y: 317.2870, conf: 0.9464","x: 185.2118, y: 305.6763, conf: 0.9737","x: 322.0817, y: 405.2820, conf: 0.8934","x: 168.0678, y: 383.7590, conf: 0.9373","x: 275.7399, y: 391.2373, conf: 0.9645","x: 209.4917, y: 388.3506, conf: 0.9740","x: 266.0267, y: 480.0000, conf: 0.2173","x: 199.0035, y: 480.0000, conf: 0.2545","x: 245.0748, y: 480.0000, conf: 0.0126","x: 206.7907, y: 480.0000, conf: 0.0132"
12,"x: 265.2668, y: 155.0027, conf: 0.9973","x: 276.0373, y: 143.8385, conf: 0.9809","x: 253.4861, y: 142.7221, conf: 0.9937","x: 287.0299, y: 150.8530, conf: 0.6252","x: 231.3087, y: 148.1467, conf: 0.9319","x: 304.9198, y: 222.4211, conf: 0.9939","x: 203.0512, y: 217.1770, conf: 0.9968","x: 319.4146, y: 317.2873, conf: 0.9468","x: 185.3501, y: 305.6070, conf: 0.9739","x: 321.9870, y: 404.9037, conf: 0.8945","x: 168.1765, y: 383.4672, conf: 0.9381","x: 275.6483, y: 390.8185, conf: 0.9652","x: 209.6323, y: 387.8782, conf: 0.9745","x: 265.6305, y: 480.0000, conf: 0.2246","x: 199.2040, y: 480.0000, conf: 0.2627","x: 244.6439, y: 480.0000, conf: 0.0132","x: 207.1377, y: 480.0000, conf: 0.0137"
12,"x: 265.2668, y: 155.0027, conf: 0.9973","x: 276.0373, y: 143.8385, conf: 0.9809","x: 253.4861, y: 142.7221, conf: 0.9937","x: 287.0299, y: 150.8530, conf: 0.6252","x: 231.3087, y: 148.1467, conf: 0.9319","x: 304.9198, y: 222.4211, conf: 0.9939","x: 203.0512, y: 217.1770, conf: 0.9968","x: 319.4146, y: 317.2873, conf: 0.9468","x: 185.3501, y: 305.6070, conf: 0.9739","x: 321.9870, y: 404.9037, conf: 0.8945","x: 168.1765, y: 383.4672, conf: 0.9381","x: 275.6483, y: 390.8185, conf: 0.9652","x: 209.6323, y: 387.8782, conf: 0.9745","x: 265.6305, y: 480.0000, conf: 0.2246","x: 199.2040, y: 480.0000, conf: 0.2627","x: 244.6439, y: 480.0000, conf: 0.0132","x: 207.1377, y: 480.0000, conf: 0.0137"
14,"x: 260.6194, y: 155.3609, conf: 0.9974","x: 271.9624, y: 144.4750, conf: 0.9837","x: 249.6239, y: 142.9584, conf: 0.9941","x: 284.1226, y: 151.6414, conf: 0.7149","x: 229.7070, y: 148.2632, conf: 0.9284","x: 302.0246, y: 221.9036, conf: 0.9931","x: 200.7389, y: 217.8574, conf: 0.9981","x: 317.3165, y: 312.1582, conf: 0.9405","x: 180.9175, y: 304.0565, conf: 0.9847","x: 321.7921, y: 397.8398, conf: 0.8974","x: 161.3593, y: 384.3730, conf: 0.9582","x: 272.6844, y: 383.8785, conf: 0.9742","x: 206.3211, y: 381.1178, conf: 0.9852","x: 268.4329, y: 480.0000, conf: 0.3207","x: 197.1703, y: 480.0000, conf: 0.4275","x: 252.3730, y: 480.0000, conf: 0.0230","x: 205.2667, y: 480.0000, conf: 0.0295"
14,"x: 260.6194, y: 155.3609, conf: 0.9974","x: 271.9624, y: 144.4750, conf: 0.9837","x: 249.6239, y: 142.9584, conf: 0.9941","x: 284.1226, y: 151.6414, conf: 0.7149","x: 229.7070, y: 148.2632, conf: 0.9284","x: 302.0246, y: 221.9036, conf: 0.9931","x: 200.7389, y: 217.8574, conf: 0.9981","x: 317.3165, y: 312.1582, conf: 0.9405","x: 180.9175, y: 304.0565, conf: 0.9847","x: 321.7921, y: 397.8398, conf: 0.8974","x: 161.3593, y: 384.3730, conf: 0.9582","x: 272.6844, y: 383.8785, conf: 0.9742","x: 206.3211, y: 381.1178, conf: 0.9852","x: 268.4329, y: 480.0000, conf: 0.3207","x: 197.1703, y: 480.0000, conf: 0.4275","x: 252.3730, y: 480.0000, conf: 0.0230","x: 205.2667, y: 480.0000, conf: 0.0295"
16,"x: 260.6084, y: 155.4427, conf: 0.9974","x: 272.0347, y: 144.5551, conf: 0.9840","x: 249.6480, y: 142.9908, conf: 0.9941","x: 284.3577, y: 151.7474, conf: 0.7216","x: 229.8554, y: 148.2599, conf: 0.9276","x: 302.2733, y: 222.1102, conf: 0.9931","x: 200.8577, y: 217.8838, conf: 0.9981","x: 317.3447, y: 312.3087, conf: 0.9401","x: 180.9901, y: 303.8273, conf: 0.9850","x: 321.8885, y: 397.9865, conf: 0.8973","x: 161.2131, y: 384.3829, conf: 0.9589","x: 272.9765, y: 383.8094, conf: 0.9743","x: 206.3832, y: 380.9813, conf: 0.9854","x: 269.3959, y: 480.0000, conf: 0.3216","x: 196.9893, y: 480.0000, conf: 0.4316","x: 254.0597, y: 480.0000, conf: 0.0231","x: 205.2605, y: 480.0000, conf: 0.0300"
16,"x: 260.6084, y: 155.4427, conf: 0.9974","x: 272.0347, y: 144.5551, conf: 0.9840","x: 249.6480, y: 142.9908, conf: 0.9941","x: 284.3577, y: 151.7474, conf: 0.7216","x: 229.8554, y: 148.2599, conf: 0.9276","x: 302.2733, y: 222.1102, conf: 0.9931","x: 200.8577, y: 217.8838, conf: 0.9981","x: 317.3447, y: 312.3087, conf: 0.9401","x: 180.9901, y: 303.8273, conf: 0.9850","x: 321.8885, y: 397.9865, conf: 0.8973","x: 161.2131, y: 384.3829, conf: 0.9589","x: 272.9765, y: 383.8094, conf: 0.9743","x: 206.3832, y: 380.9813, conf: 0.9854","x: 269.3959, y: 480.0000, conf: 0.3216","x: 196.9893, y: 480.0000, conf: 0.4316","x: 254.0597, y: 480.0000, conf: 0.0231","x: 205.2605, y: 480.0000, conf: 0.0300"
18,"x: 258.2798, y: 155.5241, conf: 0.9973","x: 269.3661, y: 144.6282, conf: 0.9828","x: 247.0744, y: 143.0631, conf: 0.9930","x: 281.3683, y: 151.6380, conf: 0.6761","x: 226.0533, y: 147.8994, conf: 0.9190","x: 299.9158, y: 221.8444, conf: 0.9945","x: 197.9515, y: 217.1418, conf: 0.9969","x: 316.3663, y: 312.3375, conf: 0.9541","x: 178.3116, y: 304.1134, conf: 0.9751","x: 317.4871, y: 396.0992, conf: 0.9104","x: 163.0022, y: 383.9171, conf: 0.9419","x: 272.2747, y: 389.0541, conf: 0.9725","x: 205.4270, y: 386.4521, conf: 0.9792","x: 263.7409, y: 480.0000, conf: 0.2693","x: 192.8078, y: 480.0000, conf: 0.3036","x: 245.7500, y: 480.0000, conf: 0.0160","x: 198.9656, y: 480.0000, conf: 0.0165"
18,"x: 258.2798, y: 155.5241, conf: 0.9973","x: 269.3661, y: 144.6282, conf: 0.9828","x: 247.0744, y: 143.0631, conf: 0.9930","x: 281.3683, y: 151.6380, conf: 0.6761","x: 226.0533, y: 147.8994, conf: 0.9190","x: 299.9158, y: 221.8444, conf: 0.9945","x: 197.9515, y: 217.1418, conf: 0.9969","x: 316.3663, y: 312.3375, conf: 0.9541","x: 178.3116, y: 304.1134, conf: 0.9751","x: 317.4871, y: 396.0992, conf: 0.9104","x: 163.0022, y: 383.9171, conf: 0.9419","x: 272.2747, y: 389.0541, conf: 0.9725","x: 205.4270, y: 386.4521, conf: 0.9792","x: 263.7409, y: 480.0000, conf: 0.2693","x: 192.8078, y: 480.0000, conf: 0.3036","x: 245.7500, y: 480.0000, conf: 0.0160","x: 198.9656, y: 480.0000, conf: 0.0165"
