frame_number,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16
10,"x: 222.3269, y: 59.2367, conf: 0.9835","x: 219.5798, y: 45.3359, conf: 0.5347","x: 202.5867, y: 44.2543, conf: 0.9879","x: 201.1260, y: 59.5220, conf: 0.0078","x: 153.8369, y: 62.1436, conf: 0.9869","x: 214.8699, y: 167.4477, conf: 0.9642","x: 111.9206, y: 186.2681, conf: 0.9890","x: 234.4766, y: 307.5735, conf: 0.8292","x: 121.4740, y: 361.6104, conf: 0.9646","x: 278.4289, y: 414.3804, conf: 0.6904","x: 224.0963, y: 450.7172, conf: 0.9155","x: 243.9328, y: 463.1655, conf: 0.5575","x: 168.7668, y: 480.0000, conf: 0.6803","x: 287.8222, y: 476.0164, conf: 0.0051","x: 173.5474, y: 480.0000, conf: 0.0077","x: 275.7390, y: 480.0000, conf: 0.0003","x: 157.2276, y: 480.0000, conf: 0.0003"
10,"x: 222.3269, y: 59.2367, conf: 0.9835","x: 219.5798, y: 45.3359, conf: 0.5347","x: 202.5867, y: 44.2543, conf: 0.9879","x: 201.1260, y: 59.5220, conf: 0.0078","x: 153.8369, y: 62.1436, conf: 0.9869","x: 214.8699, y: 167.4477, conf: 0.9642","x: 111.9206, y: 186.2681, conf: 0.9890","x: 234.4766, y: 307.5735, conf: 0.8292","x: 121.4740, y: 361.6104, conf: 0.9646","x: 278.4289, y: 414.3804, conf: 0.6904","x: 224.0963, y: 450.7172, conf: 0.9155","x: 243.9328, y: 463.1655, conf: 0.5575","x: 168.7668, y: 480.0000, conf: 0.6803","x: 287.8222, y: 476.0164, conf: 0.0051","x: 173.5474, y: 480.0000, conf: 0.0077","x: 275.7390, y: 480.0000, conf: 0.0003","x: 157.2276, y: 480.0000, conf: 0.0003"
12,"x: 221.4718, y: 60.1440, conf: 0.9861","x: 219.8612, y: 46.3044, conf: 0.5858","x: 202.1757, y: 44.4658, conf: 0.9892","x: 203.4237, y: 60.4188, conf: 0.0084","x: 153.6290, y: 60.7522, conf: 0.9863","x: 218.4867, y: 169.2388, conf: 0.9676","x: 110.1014, y: 185.6908, conf: 0.9889","x: 236.7600, y: 306.7551, conf: 0.8441","x: 121.9557, y: 357.8801, conf: 0.9620","x: 277.7135, y: 409.5415, conf: 0.7184","x: 216.2180, y: 448.3006, conf: 0.9141","x: 246.2748, y: 459.7671, conf: 0.5914","x: 167.6973, y: 477.2941, conf: 0.6976","x: 287.1415, y: 480.0000, conf: 0.0057","x: 171.5132, y: 480.0000, conf: 0.0080","x: 275.2026, y: 480.0000, conf: 0.0003","x: 162.6279, y: 480.0000, conf: 0.0003"
12,"x: 221.4718, y: 60.1440, conf: 0.9861","x: 219.8612, y: 46.3044, conf: 0.5858","x: 202.1757, y: 44.4658, conf: 0.9892","x: 203.4237, y: 60.4188, conf: 0.0084","x: 153.6290, y: 60.7522, conf: 0.9863","x: 218.4867, y: 169.2388, conf: 0.9676","x: 110.1014, y: 185.6908, conf: 0.9889","x: 236.7600, y: 306.7551, conf: 0.8441","x: 121.9557, y: 357.8801, conf: 0.9620","x: 277.7135, y: 409.5415, conf: 0.7184","x: 216.2180, y: 448.3006, conf: 0.9141","x: 246.2748, y: 459.7671, conf: 0.5914","x: 167.6973, y: 477.2941, conf: 0.6976","x: 287.1415, y: 480.0000, conf: 0.0057","x: 171.5132, y: 480.0000, conf: 0.0080","x: 275.2026, y: 480.0000, conf: 0.0003","x: 162.6279, y: 480.0000, conf: 0.0003"
14,"x: 220.7975, y: 58.9997, conf: 0.9873","x: 218.4557, y: 45.4340, conf: 0.6144","x: 201.7687, y: 43.8622, conf: 0.9902","x: 201.5701, y: 59.6374, conf: 0.0091","x: 154.2982, y: 60.6135, conf: 0.9869","x: 218.5229, y: 167.8207, conf: 0.9668","x: 111.6083, y: 184.8381, conf: 0.9894","x: 238.4620, y: 307.4246, conf: 0.8299","x: 123.6220, y: 359.2346, conf: 0.9613","x: 281.0612, y: 414.6260, conf: 0.6826","x: 215.9612, y: 455.6299, conf: 0.9040","x: 249.2564, y: 461.7448, conf: 0.5446","x: 172.0790, y: 479.3278, conf: 0.6658","x: 284.9929, y: 473.4884, conf: 0.0053","x: 170.9971, y: 480.0000, conf: 0.0077","x: 274.5660, y: 480.0000, conf: 0.0004","x: 164.8023, y: 480.0000, conf: 0.0003"
14,"x: 220.7975, y: 58.9997, conf: 0.9873","x: 218.4557, y: 45.4340, conf: 0.6144","x: 201.7687, y: 43.8622, conf: 0.9902","x: 201.5701, y: 59.6374, conf: 0.0091","x: 154.2982, y: 60.6135, conf: 0.9869","x: 218.5229, y: 167.8207, conf: 0.9668","x: 111.6083, y: 184.8381, conf: 0.9894","x: 238.4620, y: 307.4246, conf: 0.8299","x: 123.6220, y: 359.2346, conf: 0.9613","x: 281.0612, y: 414.6260, conf: 0.6826","x: 215.9612, y: 455.6299, conf: 0.9040","x: 249.2564, y: 461.7448, conf: 0.5446","x: 172.0790, y: 479.3278, conf: 0.6658","x: 284.9929, y: 473.4884, conf: 0.0053","x: 170.9971, y: 480.0000, conf: 0.0077","x: 274.5660, y: 480.0000, conf: 0.0004","x: 164.8023, y: 480.0000, conf: 0.0003"
16,"x: 220.7792, y: 59.0506, conf: 0.9869","x: 218.6039, y: 45.3884, conf: 0.6106","x: 201.6167, y: 43.8105, conf: 0.9899","x: 201.9227, y: 59.6030, conf: 0.0090","x: 154.0716, y: 60.5394, conf: 0.9863","x: 217.8549, y: 167.8832, conf: 0.9653","x: 111.6686, y: 184.2904, conf: 0.9888","x: 237.8392, y: 308.4234, conf: 0.8258","x: 123.1378, y: 359.2949, conf: 0.9603","x: 281.0029, y: 415.5909, conf: 0.6777","x: 218.6129, y: 455.8497, conf: 0.9026","x: 247.6755, y: 462.0281, conf: 0.5330","x: 170.7763, y: 479.4874, conf: 0.6542","x: 286.0942, y: 471.7687, conf: 0.0052","x: 171.5134, y: 480.0000, conf: 0.0077","x: 275.8208, y: 480.0000, conf: 0.0004","x: 163.0216, y: 480.0000, conf: 0.0004"
16,"x: 220.7792, y: 59.0506, conf: 0.9869","x: 218.6039, y: 45.3884, conf: 0.6106","x: 201.6167, y: 43.8105, conf: 0.9899","x: 201.9227, y: 59.6030, conf: 0.0090","x: 154.0716, y: 60.5394, conf: 0.9863","x: 217.8549, y: 167.8832, conf: 0.9653","x: 111.6686, y: 184.2904, conf: 0.9888","x: 237.8392, y: 308.4234, conf: 0.8258","x: 123.1378, y: 359.2949, conf: 0.9603","x: 281.0029, y: 415.5909, conf: 0.6777","x: 218.6129, y: 455.8497, conf: 0.9026","x: 247.6755, y: 462.0281, conf: 0.5330","x: 170.7763, y: 479.4874, conf: 0.6542","x: 286.0942, y: 471.7687, conf: 0.0052","x: 171.5134, y: 480.0000, conf: 0.0077","x: 275.8208, y: 480.0000, conf: 0.0004","x: 163.0216, y: 480.0000, conf: 0.0004"
18,"x: 223.8337, y: 60.5027, conf: 0.9717","x: 219.7916, y: 47.2677, conf: 0.3265","x: 205.9361, y: 45.2737, conf: 0.9814","x: 197.4202, y: 61.0960, conf: 0.0036","x: 156.1810, y: 61.2834, conf: 0.9885","x: 213.8726, y: 166.9153, conf: 0.9596","x: 111.0046, y: 187.3184, conf: 0.9880","x: 237.0518, y: 304.5782, conf: 0.8165","x: 124.1255, y: 364.2328, conf: 0.9634","x: 280.4819, y: 413.1773, conf: 0.6584","x: 221.3259, y: 455.9300, conf: 0.9061","x: 251.3808, y: 459.0897, conf: 0.5609","x: 176.2175, y: 478.3621, conf: 0.6874","x: 285.0149, y: 476.1334, conf: 0.0050","x: 170.6705, y: 480.0000, conf: 0.0074","x: 277.1565, y: 480.0000, conf: 0.0003","x: 163.0855, y: 480.0000, conf: 0.0003"
18,"x: 223.8337, y: 60.5027, conf: 0.9717","x: 219.7916, y: 47.2677, conf: 0.3265","x: 205.9361, y: 45.2737, conf: 0.9814","x: 197.4202, y: 61.0960, conf: 0.0036","x: 156.1810, y: 61.2834, conf: 0.9885","x: 213.8726, y: 166.9153, conf: 0.9596","x: 111.0046, y: 187.3184, conf: 0.9880","x: 237.0518, y: 304.5782, conf: 0.8165","x: 124.1255, y: 364.2328, conf: 0.9634","x: 280.4819, y: 413.1773, conf: 0.6584","x: 221.3259, y: 455.9300, conf: 0.9061","x: 251.3808, y: 459.0897, conf: 0.5609","x: 176.2175, y: 478.3621, conf: 0.6874","x: 285.0149, y: 476.1334, conf: 0.0050","x: 170.6705, y: 480.0000, conf: 0.0074","x: 277.1565, y: 480.0000, conf: 0.0003","x: 163.0855, y: 480.0000, conf: 0.0003"
