frame_number,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16
0,"x: 366.1883, y: 78.6528, conf: 0.9939","x: 379.9330, y: 66.0921, conf: 0.9870","x: 355.0084, y: 67.6874, conf: 0.9685","x: 403.7710, y: 82.2343, conf: 0.9481","x: 345.6114, y: 85.1937, conf: 0.6697","x: 448.3300, y: 170.0903, conf: 0.9941","x: 322.0852, y: 176.7285, conf: 0.9973","x: 483.3021, y: 273.3690, conf: 0.9627","x: 306.9172, y: 281.9043, conf: 0.9799","x: 497.3007, y: 377.0943, conf: 0.8972","x: 291.1474, y: 387.1649, conf: 0.9180","x: 430.0710, y: 387.0435, conf: 0.9762","x: 344.0316, y: 388.5450, conf: 0.9830","x: 443.8339, y: 480.0000, conf: 0.0940","x: 327.3051, y: 480.0000, conf: 0.1268","x: 437.2028, y: 480.0000, conf: 0.0033","x: 329.6908, y: 480.0000, conf: 0.0044"
0,"x: 366.1883, y: 78.6528, conf: 0.9939","x: 379.9330, y: 66.0921, conf: 0.9870","x: 355.0084, y: 67.6874, conf: 0.9685","x: 403.7710, y: 82.2343, conf: 0.9481","x: 345.6114, y: 85.1937, conf: 0.6697","x: 448.3300, y: 170.0903, conf: 0.9941","x: 322.0852, y: 176.7285, conf: 0.9973","x: 483.3021, y: 273.3690, conf: 0.9627","x: 306.9172, y: 281.9043, conf: 0.9799","x: 497.3007, y: 377.0943, conf: 0.8972","x: 291.1474, y: 387.1649, conf: 0.9180","x: 430.0710, y: 387.0435, conf: 0.9762","x: 344.0316, y: 388.5450, conf: 0.9830","x: 443.8339, y: 480.0000, conf: 0.0940","x: 327.3051, y: 480.0000, conf: 0.1268","x: 437.2028, y: 480.0000, conf: 0.0033","x: 329.6908, y: 480.0000, conf: 0.0044"
2,"x: 366.8078, y: 75.7800, conf: 0.9959","x: 381.3237, y: 62.8236, conf: 0.9913","x: 354.9569, y: 64.3342, conf: 0.9798","x: 406.1455, y: 77.8929, conf: 0.9527","x: 344.3588, y: 80.3131, conf: 0.7342","x: 448.7304, y: 166.5680, conf: 0.9949","x: 321.3217, y: 172.2357, conf: 0.9970","x: 483.0804, y: 276.7704, conf: 0.9615","x: 307.2313, y: 283.5424, conf: 0.9732","x: 495.4765, y: 385.8882, conf: 0.9014","x: 293.2167, y: 390.3342, conf: 0.9111","x: 429.8644, y: 382.9796, conf: 0.9633","x: 344.4011, y: 384.4235, conf: 0.9712","x: 441.9395, y: 480.0000, conf: 0.0768","x: 335.6929, y: 480.0000, conf: 0.0979","x: 428.9057, y: 480.0000, conf: 0.0025","x: 339.6160, y: 480.0000, conf: 0.0032"
2,"x: 366.8078, y: 75.7800, conf: 0.9959","x: 381.3237, y: 62.8236, conf: 0.9913","x: 354.9569, y: 64.3342, conf: 0.9798","x: 406.1455, y: 77.8929, conf: 0.9527","x: 344.3588, y: 80.3131, conf: 0.7342","x: 448.7304, y: 166.5680, conf: 0.9949","x: 321.3217, y: 172.2357, conf: 0.9970","x: 483.0804, y: 276.7704, conf: 0.9615","x: 307.2313, y: 283.5424, conf: 0.9732","x: 495.4765, y: 385.8882, conf: 0.9014","x: 293.2167, y: 390.3342, conf: 0.9111","x: 429.8644, y: 382.9796, conf: 0.9633","x: 344.4011, y: 384.4235, conf: 0.9712","x: 441.9395, y: 480.0000, conf: 0.0768","x: 335.6929, y: 480.0000, conf: 0.0979","x: 428.9057, y: 480.0000, conf: 0.0025","x: 339.6160, y: 480.0000, conf: 0.0032"
4,"x: 366.8175, y: 75.7596, conf: 0.9959","x: 381.3363, y: 62.8123, conf: 0.9913","x: 354.9642, y: 64.3130, conf: 0.9798","x: 406.1517, y: 77.8893, conf: 0.9526","x: 344.3114, y: 80.2989, conf: 0.7329","x: 448.6753, y: 166.5648, conf: 0.9949","x: 321.1784, y: 172.1977, conf: 0.9969","x: 482.9204, y: 276.7745, conf: 0.9618","x: 307.1694, y: 283.5190, conf: 0.9730","x: 495.4264, y: 385.7875, conf: 0.9019","x: 293.0755, y: 390.2706, conf: 0.9105","x: 429.5272, y: 382.6799, conf: 0.9634","x: 343.9108, y: 384.0880, conf: 0.9711","x: 441.6528, y: 480.0000, conf: 0.0774","x: 334.6723, y: 480.0000, conf: 0.0979","x: 428.7711, y: 480.0000, conf: 0.0026","x: 338.3568, y: 480.0000, conf: 0.0032"
4,"x: 366.8175, y: 75.7596, conf: 0.9959","x: 381.3363, y: 62.8123, conf: 0.9913","x: 354.9642, y: 64.3130, conf: 0.9798","x: 406.1517, y: 77.8893, conf: 0.9526","x: 344.3114, y: 80.2989, conf: 0.7329","x: 448.6753, y: 166.5648, conf: 0.9949","x: 321.1784, y: 172.1977, conf: 0.9969","x: 482.9204, y: 276.7745, conf: 0.9618","x: 307.1694, y: 283.5190, conf: 0.9730","x: 495.4264, y: 385.7875, conf: 0.9019","x: 293.0755, y: 390.2706, conf: 0.9105","x: 429.5272, y: 382.6799, conf: 0.9634","x: 343.9108, y: 384.0880, conf: 0.9711","x: 441.6528, y: 480.0000, conf: 0.0774","x: 334.6723, y: 480.0000, conf: 0.0979","x: 428.7711, y: 480.0000, conf: 0.0026","x: 338.3568, y: 480.0000, conf: 0.0032"
6,"x: 365.6429, y: 74.5088, conf: 0.9958","x: 380.0376, y: 61.3944, conf: 0.9913","x: 353.5621, y: 63.5198, conf: 0.9787","x: 405.1230, y: 76.8228, conf: 0.9553","x: 343.4532, y: 80.6189, conf: 0.7252","x: 448.5059, y: 166.2263, conf: 0.9948","x: 321.8358, y: 172.4693, conf: 0.9968","x: 483.6974, y: 277.7153, conf: 0.9616","x: 308.0882, y: 283.7599, conf: 0.9719","x: 497.0453, y: 389.9177, conf: 0.8983","x: 291.8792, y: 390.7262, conf: 0.9055","x: 427.6736, y: 384.9852, conf: 0.9612","x: 342.7171, y: 386.3508, conf: 0.9691","x: 439.4454, y: 480.0000, conf: 0.0693","x: 333.0844, y: 480.0000, conf: 0.0876","x: 426.5513, y: 480.0000, conf: 0.0023","x: 335.4820, y: 480.0000, conf: 0.0028"
6,"x: 365.6429, y: 74.5088, conf: 0.9958","x: 380.0376, y: 61.3944, conf: 0.9913","x: 353.5621, y: 63.5198, conf: 0.9787","x: 405.1230, y: 76.8228, conf: 0.9553","x: 343.4532, y: 80.6189, conf: 0.7252","x: 448.5059, y: 166.2263, conf: 0.9948","x: 321.8358, y: 172.4693, conf: 0.9968","x: 483.6974, y: 277.7153, conf: 0.9616","x: 308.0882, y: 283.7599, conf: 0.9719","x: 497.0453, y: 389.9177, conf: 0.8983","x: 291.8792, y: 390.7262, conf: 0.9055","x: 427.6736, y: 384.9852, conf: 0.9612","x: 342.7171, y: 386.3508, conf: 0.9691","x: 439.4454, y: 480.0000, conf: 0.0693","x: 333.0844, y: 480.0000, conf: 0.0876","x: 426.5513, y: 480.0000, conf: 0.0023","x: 335.4820, y: 480.0000, conf: 0.0028"
8,"x: 366.5647, y: 76.0103, conf: 0.9957","x: 381.0888, y: 63.0288, conf: 0.9909","x: 354.7145, y: 64.6488, conf: 0.9783","x: 405.8256, y: 77.6073, conf: 0.9528","x: 344.1970, y: 80.2929, conf: 0.7261","x: 448.3140, y: 165.1362, conf: 0.9951","x: 321.4738, y: 171.0504, conf: 0.9969","x: 482.7092, y: 276.2217, conf: 0.9641","x: 308.3853, y: 283.3291, conf: 0.9724","x: 496.5837, y: 387.6836, conf: 0.9041","x: 291.6513, y: 392.2901, conf: 0.9068","x: 427.9654, y: 379.5278, conf: 0.9669","x: 343.1576, y: 380.8519, conf: 0.9731","x: 437.8732, y: 480.0000, conf: 0.0878","x: 333.0187, y: 480.0000, conf: 0.1076","x: 423.5445, y: 480.0000, conf: 0.0029","x: 337.0438, y: 480.0000, conf: 0.0035"
8,"x: 366.5647, y: 76.0103, conf: 0.9957","x: 381.0888, y: 63.0288, conf: 0.9909","x: 354.7145, y: 64.6488, conf: 0.9783","x: 405.8256, y: 77.6073, conf: 0.9528","x: 344.1970, y: 80.2929, conf: 0.7261","x: 448.3140, y: 165.1362, conf: 0.9951","x: 321.4738, y: 171.0504, conf: 0.9969","x: 482.7092, y: 276.2217, conf: 0.9641","x: 308.3853, y: 283.3291, conf: 0.9724","x: 496.5837, y: 387.6836, conf: 0.9041","x: 291.6513, y: 392.2901, conf: 0.9068","x: 427.9654, y: 379.5278, conf: 0.9669","x: 343.1576, y: 380.8519, conf: 0.9731","x: 437.8732, y: 480.0000, conf: 0.0878","x: 333.0187, y: 480.0000, conf: 0.1076","x: 423.5445, y: 480.0000, conf: 0.0029","x: 337.0438, y: 480.0000, conf: 0.0035"
