frame_number,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16
1028,"x: 396.6678, y: 247.6443, conf: 0.9223","x: 395.0573, y: 241.9906, conf: 0.2613","x: 392.6379, y: 240.6851, conf: 0.9246","x: 383.4261, y: 246.1870, conf: 0.0335","x: 374.1462, y: 242.4502, conf: 0.9760","x: 393.2440, y: 287.0075, conf: 0.9878","x: 343.4467, y: 281.8749, conf: 0.9967","x: 404.3136, y: 338.7197, conf: 0.9250","x: 325.9059, y: 334.7936, conf: 0.9889","x: 422.7386, y: 380.6785, conf: 0.8608","x: 360.0930, y: 360.9787, conf: 0.9720","x: 397.0158, y: 387.3340, conf: 0.9854","x: 362.9962, y: 389.1073, conf: 0.9923","x: 410.3810, y: 458.3243, conf: 0.6103","x: 372.4859, y: 463.8190, conf: 0.7356","x: 410.2667, y: 480.0000, conf: 0.0801","x: 375.0599, y: 480.0000, conf: 0.0942"
1029,"x: 396.6586, y: 247.5947, conf: 0.9227","x: 395.0701, y: 241.8954, conf: 0.2638","x: 392.6071, y: 240.6023, conf: 0.9247","x: 383.5153, y: 246.1115, conf: 0.0337","x: 374.1175, y: 242.4012, conf: 0.9756","x: 393.3441, y: 287.1729, conf: 0.9876","x: 343.4855, y: 282.0225, conf: 0.9966","x: 404.4128, y: 338.9510, conf: 0.9245","x: 325.8720, y: 334.9320, conf: 0.9887","x: 422.9368, y: 381.0237, conf: 0.8605","x: 360.1985, y: 360.9960, conf: 0.9719","x: 397.1961, y: 387.4492, conf: 0.9850","x: 363.0607, y: 389.2665, conf: 0.9920","x: 411.4534, y: 459.3754, conf: 0.5993","x: 373.1523, y: 464.9434, conf: 0.7261","x: 411.6805, y: 480.0000, conf: 0.0759","x: 375.5659, y: 480.0000, conf: 0.0894"
1030,"x: 397.5413, y: 250.2734, conf: 0.9251","x: 396.3248, y: 244.6915, conf: 0.2855","x: 393.9859, y: 243.2660, conf: 0.9317","x: 385.1704, y: 249.0793, conf: 0.0430","x: 377.0523, y: 244.6451, conf: 0.9805","x: 394.8016, y: 289.0298, conf: 0.9873","x: 344.7706, y: 283.5538, conf: 0.9967","x: 404.2302, y: 340.9622, conf: 0.9111","x: 326.1340, y: 336.0265, conf: 0.9877","x: 424.7979, y: 382.3691, conf: 0.8393","x: 358.5717, y: 361.5486, conf: 0.9687","x: 399.4556, y: 387.0901, conf: 0.9771","x: 365.2737, y: 388.9370, conf: 0.9883","x: 412.5273, y: 458.1606, conf: 0.5172","x: 374.0251, y: 464.2400, conf: 0.6640","x: 409.0236, y: 480.0000, conf: 0.0556","x: 375.5739, y: 480.0000, conf: 0.0672"
1031,"x: 397.6866, y: 255.9129, conf: 0.9756","x: 398.0838, y: 250.0089, conf: 0.6061","x: 393.4999, y: 248.5031, conf: 0.9756","x: 389.6012, y: 252.7610, conf: 0.0740","x: 375.0021, y: 247.7623, conf: 0.9814","x: 394.8205, y: 292.1412, conf: 0.9904","x: 345.7091, y: 286.4362, conf: 0.9965","x: 405.0200, y: 342.9583, conf: 0.9222","x: 327.5670, y: 336.4436, conf: 0.9836","x: 426.9752, y: 387.5605, conf: 0.8719","x: 359.5396, y: 362.3966, conf: 0.9668","x: 400.0084, y: 389.2251, conf: 0.9762","x: 367.1260, y: 391.1931, conf: 0.9859","x: 411.4617, y: 455.2249, conf: 0.6035","x: 374.6769, y: 460.8318, conf: 0.7050","x: 408.4539, y: 480.0000, conf: 0.0944","x: 377.2719, y: 480.0000, conf: 0.1034"
1032,"x: 397.6282, y: 256.2888, conf: 0.9758","x: 397.9921, y: 250.3229, conf: 0.6066","x: 393.4281, y: 248.8947, conf: 0.9759","x: 389.4878, y: 252.9110, conf: 0.0740","x: 374.9381, y: 248.0573, conf: 0.9818","x: 394.8367, y: 292.2286, conf: 0.9906","x: 345.6847, y: 286.5336, conf: 0.9966","x: 405.2088, y: 343.0660, conf: 0.9230","x: 327.4854, y: 336.3794, conf: 0.9838","x: 427.0696, y: 387.7648, conf: 0.8728","x: 359.3611, y: 362.3746, conf: 0.9671","x: 399.7537, y: 388.9669, conf: 0.9767","x: 366.9131, y: 390.9204, conf: 0.9862","x: 411.0789, y: 454.7817, conf: 0.6113","x: 374.5862, y: 460.4313, conf: 0.7118","x: 407.9369, y: 480.0000, conf: 0.0973","x: 377.2676, y: 480.0000, conf: 0.1065"
1033,"x: 396.1875, y: 255.6118, conf: 0.9878","x: 398.1832, y: 249.9429, conf: 0.8101","x: 391.1196, y: 248.1478, conf: 0.9852","x: 394.4909, y: 253.9085, conf: 0.1386","x: 374.0250, y: 248.7555, conf: 0.9723","x: 398.4051, y: 294.7950, conf: 0.9890","x: 349.4086, y: 287.1461, conf: 0.9969","x: 407.6476, y: 343.8607, conf: 0.9163","x: 329.0854, y: 333.6544, conf: 0.9856","x: 426.5881, y: 386.4891, conf: 0.8833","x: 356.7461, y: 360.0215, conf: 0.9726","x: 397.9711, y: 389.5253, conf: 0.9721","x: 366.1197, y: 389.2880, conf: 0.9847","x: 400.9868, y: 455.7966, conf: 0.5858","x: 376.6612, y: 457.6959, conf: 0.7100","x: 396.4084, y: 480.0000, conf: 0.0953","x: 379.5370, y: 480.0000, conf: 0.1157"
1034,"x: 396.1518, y: 255.6155, conf: 0.9878","x: 398.1552, y: 249.9579, conf: 0.8106","x: 391.0818, y: 248.1634, conf: 0.9852","x: 394.4875, y: 253.9463, conf: 0.1389","x: 374.0065, y: 248.7962, conf: 0.9722","x: 398.3924, y: 294.7865, conf: 0.9889","x: 349.4495, y: 287.1478, conf: 0.9969","x: 407.6352, y: 343.8389, conf: 0.9161","x: 329.1192, y: 333.6566, conf: 0.9856","x: 426.5662, y: 386.4805, conf: 0.8831","x: 356.7496, y: 360.0343, conf: 0.9726","x: 397.9886, y: 389.4904, conf: 0.9719","x: 366.1735, y: 389.2529, conf: 0.9847","x: 400.9973, y: 455.8235, conf: 0.5844","x: 376.7294, y: 457.7123, conf: 0.7090","x: 396.4100, y: 480.0000, conf: 0.0948","x: 379.5352, y: 480.0000, conf: 0.1152"
1035,"x: 396.2794, y: 255.5481, conf: 0.9929","x: 398.9282, y: 250.0164, conf: 0.9009","x: 390.3005, y: 248.6844, conf: 0.9904","x: 397.6246, y: 254.9165, conf: 0.2159","x: 373.4701, y: 251.1607, conf: 0.9681","x: 401.1129, y: 295.8339, conf: 0.9900","x: 352.6049, y: 288.4759, conf: 0.9972","x: 408.6516, y: 345.9923, conf: 0.9265","x: 332.7504, y: 333.9901, conf: 0.9871","x: 426.9433, y: 389.1782, conf: 0.8991","x: 358.2536, y: 358.0552, conf: 0.9758","x: 399.1642, y: 389.1977, conf: 0.9760","x: 366.0515, y: 388.7341, conf: 0.9868","x: 407.7193, y: 457.7748, conf: 0.6300","x: 372.9461, y: 459.6115, conf: 0.7464","x: 407.4990, y: 480.0000, conf: 0.1169","x: 368.9090, y: 480.0000, conf: 0.1439"
1036,"x: 396.2944, y: 255.5965, conf: 0.9929","x: 398.9974, y: 250.0491, conf: 0.9012","x: 390.3323, y: 248.6944, conf: 0.9904","x: 397.7870, y: 254.9124, conf: 0.2159","x: 373.5422, y: 251.0778, conf: 0.9678","x: 401.1712, y: 295.9020, conf: 0.9899","x: 352.7124, y: 288.3646, conf: 0.9972","x: 408.7307, y: 346.2886, conf: 0.9259","x: 332.8269, y: 333.9886, conf: 0.9870","x: 427.1363, y: 389.3329, conf: 0.8989","x: 358.3756, y: 358.0186, conf: 0.9758","x: 398.9973, y: 388.9547, conf: 0.9758","x: 366.0082, y: 388.4007, conf: 0.9866","x: 407.3028, y: 457.5432, conf: 0.6305","x: 373.2050, y: 459.2437, conf: 0.7470","x: 406.7173, y: 480.0000, conf: 0.1176","x: 369.2010, y: 480.0000, conf: 0.1449"
1037,"x: 395.2923, y: 256.9499, conf: 0.9941","x: 399.0936, y: 251.4177, conf: 0.9387","x: 389.4802, y: 250.0830, conf: 0.9906","x: 400.6077, y: 256.2400, conf: 0.3432","x: 374.7942, y: 252.5806, conf: 0.9529","x: 403.8862, y: 295.9496, conf: 0.9892","x: 355.4645, y: 288.5970, conf: 0.9970","x: 409.3085, y: 347.1725, conf: 0.9265","x: 334.4295, y: 332.5095, conf: 0.9862","x: 424.9814, y: 390.1697, conf: 0.9029","x: 355.6782, y: 349.5598, conf: 0.9748","x: 398.1626, y: 388.6955, conf: 0.9752","x: 364.7080, y: 387.3940, conf: 0.9862","x: 403.2424, y: 457.5977, conf: 0.6449","x: 364.6183, y: 458.6445, conf: 0.7560","x: 402.2021, y: 480.0000, conf: 0.1323","x: 357.2358, y: 480.0000, conf: 0.1653"
